Adj_Close,Close,High,Low,Open,Volume
188.86473083496094,189.7899932861328,190.6699981689453,188.89999389648438,189.9199981689453,40552600
189.4717559814453,190.39999389648438,191.0800018310547,189.39999389648438,189.77999877929688,38415400
188.44679260253906,189.3699951171875,192.08999633789062,188.97000122070312,190.89999389648438,43014200
189.02395629882812,189.9499969482422,190.32000732421875,188.19000244140625,189.83999633789062,48794400
190.30767822265625,191.24000549316406,191.55999755859375,189.22999572753906,190.3300018310547,45679300
188.50648498535156,189.42999267578125,190.0500030517578,187.4499969482422,189.97999572753906,43389500
192.47705078125,193.4199981689453,194.39999389648438,190.17999267578125,190.2100067138672,66628400
191.38241577148438,192.32000732421875,194.75999450683594,192.11000061035156,194.4499969482422,41089700
193.32290649414062,194.27000427246094,195.0,193.58999633789062,193.6300048828125,47477700
194.75588989257812,195.7100067138672,195.99000549316406,193.6699981689453,194.1999969482422,53377300
192.23822021484375,193.17999267578125,193.49000549316406,191.4199981689453,193.11000061035156,60943700
193.7607879638672,194.7100067138672,194.72000122070312,191.72000122070312,193.0800018310547,52696900
196.9949188232422,197.9600067138672,198.0,194.85000610351562,195.08999633789062,70404200
197.14419555664062,198.11000061035156,199.6199951171875,196.16000366210938,198.02000427246094,66831600
196.60682678222656,197.57000732421875,198.39999389648438,197.0,197.52999877929688,128256700
194.9350128173828,195.88999938964844,196.6300048828125,194.38999938964844,196.08999633789062,55751900
195.97988891601562,196.94000244140625,196.9499969482422,195.88999938964844,196.16000366210938,40714100
193.88018798828125,194.8300018310547,197.67999267578125,194.8300018310547,196.89999389648438,52242800
193.73089599609375,194.67999267578125,197.0800018310547,193.5,196.10000610351562,46482500
192.6561737060547,193.60000610351562,195.41000366210938,192.97000122070312,195.17999267578125,37122800
192.10887145996094,193.0500030517578,193.88999938964844,192.8300018310547,193.61000061035156,28919300
192.20835876464844,193.14999389648438,193.5,191.08999633789062,192.49000549316406,48087700
192.6362762451172,193.5800018310547,194.66000366210938,193.1699981689453,194.13999938964844,34049900
191.5913848876953,192.52999877929688,194.39999389648438,191.72999572753906,193.89999389648438,42628800
